id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
442j8VxaB60dWf9cBFuX5w,Almost Is Never Enough,70,327773,0,"['Ariana Grande', 'Nathan Sykes']","['66CXWjxzNUsdJxJ2JdwvnR', '2Rf4X6m0oayCJhaJ5K63GQ']",2013-01-01,0.324,0.327,2,-7.494,1,0.0409,0.825,0.0,0.101,0.334,81.328,4
0S4RKPbRDA72tvKwVdXQqe,The Way,68,227027,0,"['Ariana Grande', 'Mac Miller']","['66CXWjxzNUsdJxJ2JdwvnR', '4LLpKhyESsyAXpc4laK94U']",2013-01-01,0.645,0.878,5,-3.208,0,0.113,0.294,0.0,0.076,0.862,82.324,4
6NmCCgnQcxKHPOAKgd9Nth,Baby I,62,197600,0,['Ariana Grande'],['66CXWjxzNUsdJxJ2JdwvnR'],2013-01-01,0.724,0.796,1,-3.686,1,0.0328,0.0152,0.0,0.354,0.542,101.975,4
0puf9yIluy9W0vpMEUoAnN,Bang Bang,80,199387,0,"['Jessie J', 'Ariana Grande', 'Nicki Minaj']","['2gsggkzM5R49q6jpPvazou', '66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']",2014-10-14,0.706,0.786,0,-3.417,0,0.091,0.26,0.0,0.38,0.751,150.028,4
7xoUc6faLbCqZO6fQEYprd,One Last Time,79,197267,0,['Ariana Grande'],['66CXWjxzNUsdJxJ2JdwvnR'],2014-08-25,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,4
5J4ZkQpzMUFojo1CtAZYpn,Love Me Harder,77,236133,0,"['Ariana Grande', 'The Weeknd']","['66CXWjxzNUsdJxJ2JdwvnR', '1Xyo4u8uXC1ZmMpatF05PJ']",2014-08-25,0.472,0.714,1,-4.389,0,0.0334,0.00937,0.0,0.0764,0.24,98.992,4
12KUFSHFgT0XCoiSlvdQi4,Break Free,76,214840,0,"['Ariana Grande', 'Zedd']","['66CXWjxzNUsdJxJ2JdwvnR', '2qxJFvFYMEDqd7ui6kSAcq']",2014-08-25,0.687,0.702,7,-5.324,0,0.0455,0.0064,4.35e-05,0.204,0.284,129.956,4
7vS3Y0IKjde7Xg85LWIEdP,Problem,76,193920,0,"['Ariana Grande', 'Iggy Azalea']","['66CXWjxzNUsdJxJ2JdwvnR', '5yG7ZAZafVaAlMTeBybKAL']",2014-08-25,0.66,0.805,1,-5.352,0,0.153,0.0192,8.83e-06,0.159,0.625,103.008,4
0lizgQ7Qw35od7CYaoMBZb,Santa Tell Me,68,204093,0,['Ariana Grande'],['66CXWjxzNUsdJxJ2JdwvnR'],2014-11-24,0.525,0.621,7,-7.364,1,0.116,0.0489,0.0,0.294,0.591,191.9,4
5lvnGiTAH9BVlJLHc0DXZz,Just A Little Bit Of Your Heart,66,232587,0,['Ariana Grande'],['66CXWjxzNUsdJxJ2JdwvnR'],2014-08-25,0.439,0.322,9,-5.959,1,0.028,0.692,0.0,0.103,0.16,77.963,4
70yhaHLp9STtzI2Kzba6Tr,Best Mistake,65,233733,0,"['Ariana Grande', 'Big Sean']","['66CXWjxzNUsdJxJ2JdwvnR', '0c173mlxpT3dSFRgMO8XPh']",2014-08-25,0.654,0.578,6,-6.897,1,0.449,0.546,0.0,0.112,0.233,143.867,4
40fHWRL8bKcl5J4t4OKUiW,Why Try,63,211880,0,['Ariana Grande'],['66CXWjxzNUsdJxJ2JdwvnR'],2014-08-25,0.443,0.663,8,-5.946,0,0.0432,0.0494,0.0,0.153,0.331,159.856,4
4eumFsTnduH3zRfaASoAPs,My Everything,63,168520,0,['Ariana Grande'],['66CXWjxzNUsdJxJ2JdwvnR'],2014-08-25,0.54,0.265,11,-5.307,1,0.0297,0.88,0.0,0.131,0.423,61.975,4
1cdzfFjEbUbgTm5nv3FgXR,Focus,66,211360,0,['Ariana Grande'],['66CXWjxzNUsdJxJ2JdwvnR'],2015-10-30,0.671,0.876,6,-6.034,1,0.239,0.266,0.0,0.444,0.8,100.016,4
2meEiZKWkiN28gITzFwQo5,Into You,77,244453,0,['Ariana Grande'],['66CXWjxzNUsdJxJ2JdwvnR'],2016-05-20,0.623,0.734,9,-5.948,1,0.107,0.0162,1.75e-06,0.145,0.37,107.853,4
07Oz5StQ7GRoygNLaXs2pd,Good as Hell (feat. Ariana Grande) - Remix,76,159011,0,"['Lizzo', 'Ariana Grande']","['56oDRnqbIiwx4mymNEv7dS', '66CXWjxzNUsdJxJ2JdwvnR']",2016,0.668,0.892,5,-3.001,0,0.0645,0.298,0.0,0.735,0.478,95.927,4
7l94dyN2hX9c6wWcZQuOGJ,Dangerous Woman,76,235947,0,['Ariana Grande'],['66CXWjxzNUsdJxJ2JdwvnR'],2016-05-20,0.664,0.602,4,-5.369,0,0.0412,0.0529,0.0,0.356,0.289,134.049,3
1pKeFVVUOPjFsOABub0OaV,Side To Side,75,226160,1,"['Ariana Grande', 'Nicki Minaj']","['66CXWjxzNUsdJxJ2JdwvnR', '0hCNtLu0JehylgoiP8L4Gh']",2016-05-20,0.65,0.736,6,-5.84,0,0.229,0.0528,0.0,0.235,0.613,159.173,4
