id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
6C1RD7YQVvt3YQj0CmuTeu,Diles,76,286041,1,"['Bad Bunny', 'Ozuna', 'Farruko', 'Arcangel', 'Ñengo Flow', 'DJ Luian', 'Mambo Kingz']","['4q3ewBCX7sLwd24euuV69X', '1i8SpTcr7yvPOmcqrbnVXY', '329e4yvIujISKGKz1BZZbO', '4SsVbpTthjScTS7U2hmr1X', '12vb80Km0Ew53ABfJOepVz', '64aJYyrXljOodnUG6jvhRD', '2T1aUibqR2QC2sINIDQOAK']",2016-08-26,0.813,0.56,2,-5.904,0,0.0618,0.108,0.0,0.268,0.287,118.033,4
1JxhrUWZjuI8AOjDJ1JpMN,Soy Peor,74,257384,1,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2016-12-08,0.808,0.611,0,-3.221,0,0.0663,0.683,0.00638,0.114,0.172,116.011,4
6NSMQFKgjpQb0KkjMDYIK0,Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),72,264000,1,"['Arcangel', 'Bad Bunny', 'Mambo Kingz', 'DJ Luian']","['4SsVbpTthjScTS7U2hmr1X', '4q3ewBCX7sLwd24euuV69X', '2T1aUibqR2QC2sINIDQOAK', '64aJYyrXljOodnUG6jvhRD']",2016-09-30,0.815,0.514,6,-9.446,0,0.361,0.54,0.0,0.611,0.623,120.054,4
5hcisvFMidkMJlElTO9Qmw,Sensualidad,73,297485,0,"['Bad Bunny', 'Prince Royce', 'J Balvin', 'Mambo Kingz', 'DJ Luian']","['4q3ewBCX7sLwd24euuV69X', '3MHaV05u0io8fQbZ2XPtlC', '1vyhD5VmyZ7KMfW5gqLgo5', '2T1aUibqR2QC2sINIDQOAK', '64aJYyrXljOodnUG6jvhRD']",2017-11-03,0.807,0.681,11,-6.268,1,0.0983,0.423,0.0,0.0962,0.676,140.006,4
2joKSGkqac0LIwYG9Ghrwq,Si Tu Novio Te Deja Sola,71,243560,1,"['J Balvin', 'Bad Bunny']","['1vyhD5VmyZ7KMfW5gqLgo5', '4q3ewBCX7sLwd24euuV69X']",2017-03-03,0.718,0.46,3,-9.498,0,0.0711,0.519,0.0,0.0981,0.52,121.927,4
2QrGCbW0ylj94JfkgLZFlA,Pa Ti,71,191295,1,"['Bad Bunny', 'Bryant Myers']","['4q3ewBCX7sLwd24euuV69X', '6w9ToX5slZ4uIdmD17hJ3c']",2017-01-02,0.76,0.718,1,-3.017,1,0.232,0.348,0.0,0.0982,0.557,128.14,4
0gCPvo1GkbtPhMqg5Gbx1K,Vuelve,71,279613,0,"['Daddy Yankee', 'Bad Bunny']","['4VMYDCV2IEDYJArk749S6m', '4q3ewBCX7sLwd24euuV69X']",2017-09-29,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.024,4
2wgDAPgBhFA7pnIbm0YOhP,Me Mata,70,412632,0,"['Bad Bunny', 'Mambo Kingz', 'DJ Luian', 'Arcangel', 'Almighty', 'Bryant Myers', 'Noriel', 'Baby Rasta', 'Brytiago']","['4q3ewBCX7sLwd24euuV69X', '2T1aUibqR2QC2sINIDQOAK', '64aJYyrXljOodnUG6jvhRD', '4SsVbpTthjScTS7U2hmr1X', '6P6GTRTigHBp8ZesNtpCKH', '6w9ToX5slZ4uIdmD17hJ3c', '3RtNN1VnooWEn3KQk03DUL', '0GgyFUpOyzWDRDqx8FCTDN', '00XhexlJEXQstHimpZN910']",2017-04-11,0.841,0.53,9,-11.467,1,0.205,0.551,0.0,0.119,0.686,114.028,4
5hKjEpYrJIJs6uPl7zw6Y6,No Te Hagas,70,233251,0,"['Jory Boy', 'Bad Bunny']","['5lFhCi03HDneWzvCxGctrT', '4q3ewBCX7sLwd24euuV69X']",2017-03-11,0.748,0.69,0,-3.812,0,0.0477,0.0353,0.0,0.315,0.433,131.972,4
58q2HKrzhC3ozto2nDdN4z,I Like It,83,253390,1,"['Cardi B', 'Bad Bunny', 'J Balvin']","['4kYSro6naA4h99UJvo89HB', '4q3ewBCX7sLwd24euuV69X', '1vyhD5VmyZ7KMfW5gqLgo5']",2018-04-06,0.816,0.726,5,-3.998,0,0.129,0.099,0.0,0.372,0.65,136.048,4
35wvL50xvKpCHEJPxLOLPI,Si Estuviésemos Juntos,81,169248,1,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2018-12-23,0.672,0.594,1,-6.813,0,0.0789,0.0626,5.14e-05,0.152,0.158,171.854,4
116H0KvKr2Zl4RPuVBruDO,MIA (feat. Drake),79,210368,0,"['Bad Bunny', 'Drake']","['4q3ewBCX7sLwd24euuV69X', '3TVXtAsR1Inumwj472S9r4']",2018-10-11,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,4
3V8UKqhEK5zBkBb6d6ub8i,Te Boté - Remix,79,417920,1,"['Nio Garcia', 'Casper Magico', 'Bad Bunny', 'Darell', 'Ozuna', 'Nicky Jam']","['5hdhHgpxyniooUiQVaPxQ0', '1fux65HMCBvfJHqlBc4Nno', '4q3ewBCX7sLwd24euuV69X', '1TtXnWcUs0FCkaZDPGYHdf', '1i8SpTcr7yvPOmcqrbnVXY', '1SupJlEpv7RS2tPNRaHViT']",2018-04-13,0.903,0.675,11,-3.445,0,0.214,0.542,1.28e-05,0.0595,0.442,96.507,4
4vCAzANUWDE24URV6wQ4ra,Otra Noche en Miami,77,233128,1,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2018-12-23,0.514,0.646,1,-8.833,1,0.275,0.197,2.3e-05,0.0958,0.297,88.661,4
68QcquxCS39cQGTsRrJWIR,Amorfoda,76,153887,1,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2018-02-15,0.749,0.418,9,-7.925,0,0.0587,0.985,0.000126,0.0832,0.307,147.887,3
278kSqsZIiYp8p3QjYAqa8,NI BIEN NI MAL,76,236216,1,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2018-12-23,0.826,0.449,5,-8.33,0,0.0674,0.556,1.85e-05,0.273,0.337,128.028,4
2ECIwi1a7mfokdDkkJ08Ne,Loca - Remix,75,346460,1,"['KHEA', 'Bad Bunny', 'Duki', 'Cazzu']","['4m6ubhNsdwF4psNf3R8kwR', '4q3ewBCX7sLwd24euuV69X', '1bAftSH8umNcGZ0uyV7LMg', '6w3SkAHYPsQ1bxV7VDlG5y']",2018-03-16,0.795,0.751,8,-3.661,1,0.0675,0.337,0.0,0.0983,0.537,113.033,4
2OWVCFTolecLiGZPquvWvT,Estamos Bien,74,208080,0,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2018-12-23,0.759,0.536,9,-6.663,0,0.173,0.821,4.57e-06,0.107,0.439,119.883,4
1khmgu0pveJbkbpbkyvcQv,La Romana,74,300579,1,"['Bad Bunny', 'El Alfa']","['4q3ewBCX7sLwd24euuV69X', '2oQX8QiMXOyuqbcZEFsZfm']",2018-12-23,0.655,0.725,0,-5.497,1,0.188,0.0327,0.00264,0.0611,0.326,125.8,4
7rwX0O3RlxqqIjQM8evm5E,Solita,74,311726,0,"['Ozuna', 'Mambo Kingz', 'DJ Luian', 'Bad Bunny', 'Wisin', 'Almighty']","['1i8SpTcr7yvPOmcqrbnVXY', '2T1aUibqR2QC2sINIDQOAK', '64aJYyrXljOodnUG6jvhRD', '4q3ewBCX7sLwd24euuV69X', '3E6xrwgnVfYCrCs0ePERDz', '6P6GTRTigHBp8ZesNtpCKH']",2018-01-19,0.807,0.633,10,-6.016,0,0.0929,0.0564,0.0,0.107,0.325,138.038,4
6it15CsDlkqB7N4lF0C1qM,Caro,72,229456,1,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2018-12-23,0.651,0.575,0,-7.739,1,0.299,0.627,0.000202,0.0961,0.248,160.007,4
0r9d60ZYPAlFHq8qnUtkXN,Madura (feat. Bad Bunny),72,190909,0,"['Cosculluela', 'Bad Bunny']","['00me4Ke1LsvMxt5kydlMyU', '4q3ewBCX7sLwd24euuV69X']",2018-04-13,0.878,0.555,1,-7.639,0,0.202,0.138,1.34e-06,0.151,0.751,88.029,4
0fea68AdmYNygeTGI4RC18,LA CANCIÓN,84,242573,0,"['J Balvin', 'Bad Bunny']","['1vyhD5VmyZ7KMfW5gqLgo5', '4q3ewBCX7sLwd24euuV69X']",2019-06-28,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,4
2TH65lNHgvLxCKXM3apjxI,Callaita,82,250534,1,"['Bad Bunny', 'Tainy']","['4q3ewBCX7sLwd24euuV69X', '0GM7qgcRCORpGnfcN2tCiB']",2019-05-31,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,4
