id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
5pomCBdsTZSDCFHH8BAUQe,This Is Me,66,189173,0,"['Demi Lovato', 'Joe Jonas']","['6S2OmqARrzebs0tKUEyXyp', '7gbmX8SsfjEjxDMzBi1ZOL']",2008-01-01,0.421,0.821,1,-2.783,1,0.0372,0.00971,0.0,0.1,0.594,91.245,4
0Di5p4ItolIUZB8c2P0pvs,"Wouldn't Change a Thing - From ""Camp Rock 2: The Final Jam""",61,203840,0,"['Demi Lovato', 'Joe Jonas']","['6S2OmqARrzebs0tKUEyXyp', '7gbmX8SsfjEjxDMzBi1ZOL']",2010-01-01,0.359,0.883,1,-3.535,1,0.0907,0.0753,0.0,0.112,0.481,171.725,4
0cEBv7oJxFp3bfTFqWFI0R,Why Don't You Love Me (feat. Demi Lovato),62,211413,0,"['Hot Chelle Rae', 'Demi Lovato']","['6jTnHxhb6cDCaCu4rdvsQ0', '6S2OmqARrzebs0tKUEyXyp']",2011-11-25,0.53,0.802,2,-6.494,1,0.0362,0.121,0.0,0.118,0.566,148.054,3
1V6gIisPpYqgFeWbMLI0bA,Heart Attack,79,210840,0,['Demi Lovato'],['6S2OmqARrzebs0tKUEyXyp'],2013-01-01,0.504,0.785,8,-4.802,1,0.104,0.0738,0.0,0.239,0.502,173.968,4
5vTPxzm4h2bY9rYyVrGEU5,Really Don't Care,72,201600,0,"['Demi Lovato', 'Cher Lloyd']","['6S2OmqARrzebs0tKUEyXyp', '4m4SfDVbF5wxrwEjDKgi4k']",2013-01-01,0.706,0.728,7,-3.602,1,0.0852,0.123,0.0,0.185,0.851,121.017,4
34MJ07N9Bhu6iKPaxSVnCT,Neon Lights,66,233173,0,['Demi Lovato'],['6S2OmqARrzebs0tKUEyXyp'],2013-01-01,0.631,0.819,9,-4.24,1,0.122,0.0767,0.0,0.1,0.733,125.928,4
7nCBOm2WiTUPAx3TeG2rZA,Warrior,63,231173,0,['Demi Lovato'],['6S2OmqARrzebs0tKUEyXyp'],2013-01-01,0.415,0.399,9,-6.165,0,0.0423,0.868,0.0,0.114,0.196,146.485,4
1RidHM9BC4M8DpfSQ6YLJh,Up (feat. Demi Lovato),70,224294,0,"['Olly Murs', 'Demi Lovato']","['3whuHq0yGx60atvA2RCVRW', '6S2OmqARrzebs0tKUEyXyp']",2014-11-24,0.692,0.831,9,-5.389,1,0.034,0.0146,0.0,0.103,0.676,114.972,4
3by8IfnW9dZ2t4pZw1WVxz,Stone Cold,75,191308,0,['Demi Lovato'],['6S2OmqARrzebs0tKUEyXyp'],2015-01-01,0.419,0.453,8,-7.685,1,0.0437,0.539,0.0,0.0971,0.356,140.327,3
3DXXKDbbZKyAZfNb96ST3q,Confident,73,205746,1,['Demi Lovato'],['6S2OmqARrzebs0tKUEyXyp'],2015-01-01,0.594,0.749,3,-6.251,1,0.0677,0.00188,0.000139,0.0869,0.344,130.064,4
3uwnnTQcHM1rDqSfA4gQNz,Cool for the Summer,69,214740,1,['Demi Lovato'],['6S2OmqARrzebs0tKUEyXyp'],2015-01-01,0.583,0.61,5,-5.639,0,0.0382,0.00425,0.000105,0.14,0.336,114.06,4
7gvd8xj4QgPqbQSsn5pV7d,Sorry Not Sorry,80,203760,1,['Demi Lovato'],['6S2OmqARrzebs0tKUEyXyp'],2017-09-29,0.705,0.64,11,-6.928,0,0.225,0.0237,0.0,0.262,0.887,144.077,4
1louJpMmzEicAn7lzDalPW,No Promises (feat. Demi Lovato),72,223504,0,"['Cheat Codes', 'Demi Lovato']","['7DMveApC7UnC2NPfPvlHSU', '6S2OmqARrzebs0tKUEyXyp']",2017-03-31,0.741,0.667,10,-5.445,1,0.134,0.0575,0.0,0.106,0.595,112.956,4
6kPJZM97LwdG9QIsT7khp6,Solo (feat. Demi Lovato),76,222653,0,"['Clean Bandit', 'Demi Lovato']","['6MDME20pz9RveH9rEXvrOM', '6S2OmqARrzebs0tKUEyXyp']",2018-05-17,0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,4
0STK94RxUulYqWzwFlyAb5,Sober,73,197893,0,['Demi Lovato'],['6S2OmqARrzebs0tKUEyXyp'],2018-06-21,0.397,0.303,1,-10.413,1,0.11,0.798,4.16e-06,0.0824,0.17,170.22,3
0mlAOSILGRys2IbvyOT5VJ,Échame La Culpa,74,173800,0,"['Luis Fonsi', 'Demi Lovato']","['4V8Sr092TqfHkfAA5fXXqG', '6S2OmqARrzebs0tKUEyXyp']",2019-02-01,0.733,0.897,0,-3.652,1,0.0389,0.0391,0.0,0.117,0.649,96.006,4
0zzVTGyRrWpQu8Fr28NRAv,OK Not To Be OK,80,159863,0,"['Marshmello', 'Demi Lovato']","['64KEffDW9EtZ1y2vBYgq8T', '6S2OmqARrzebs0tKUEyXyp']",2020-09-10,0.743,0.837,1,-5.025,0,0.0649,0.0172,0.0,0.0743,0.263,103.072,4
2h9TDNEXRhcDIV3fsoEVq9,What Other People Say,85,194890,1,"['Sam Fischer', 'Demi Lovato']","['6L1XC7NrmgWRlwAeLJvVtA', '6S2OmqARrzebs0tKUEyXyp']",2021-02-04,0.652,0.472,7,-8.084,1,0.0399,0.158,0.0,0.121,0.24,126.904,4
2kONpeXXK70YEs7c0UQbmq,Dancing With The Devil,79,243992,0,['Demi Lovato'],['6S2OmqARrzebs0tKUEyXyp'],2021-03-26,0.413,0.64,8,-5.811,1,0.0427,0.273,0.0,0.11,0.149,75.245,4
3qyJxWoPj7NUXHrSsXam3X,Met Him Last Night,66,204632,0,"['Demi Lovato', 'Ariana Grande']","['6S2OmqARrzebs0tKUEyXyp', '66CXWjxzNUsdJxJ2JdwvnR']",2021-04-01,0.529,0.543,4,-4.546,0,0.0263,0.216,0.0,0.0957,0.0742,144.959,4
4B3RmT3cGvh8By3WY9pbIx,Skyscraper,69,221293,0,['Demi Lovato'],['6S2OmqARrzebs0tKUEyXyp'],2011-01-01,0.573,0.581,7,-3.325,1,0.0276,0.148,0.0,0.128,0.188,103.82,4
