id,followers,genres,name,popularity
0xRXCcSX89eobfrshSVdyu,406658.0,"['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']",MEDUZA,83
6MF9fzBmfXghAz953czmBC,1912753.0,"['dance pop', 'edm', 'pop', 'pop rap']",Taio Cruz,75
5nki7yRhxgM509M5ADlN1p,908278.0,"['dance pop', 'edm', 'electro house', 'future house', 'house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']",Oliver Heldens,75
45eNHdiiabvmbp4erw26rg,1070438.0,"['edm', 'electropop', 'melodic dubstep', 'pop', 'pop dance', 'tropical house']",ILLENIUM,79
1eMmoIprPDWeFdB1FxU6ZV,319800.0,"['alt z', 'deep pop edm', 'electropop', 'indie poptimism', 'pop']",Au/Ra,75
23fqKkggKUBHNkbKtXEls4,7362032.0,"['edm', 'pop', 'pop dance', 'tropical house']",Kygo,86
6t1gpxYbY8OlLA7D2RiikQ,426085.0,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'pop edm', 'tropical house']",Loud Luxury,75
20DZAfCuP1TKZl5KcY7z3Q,269127.0,"['dubstep', 'edm', 'electro house', 'electronic trap', 'pop dance', 'pop edm']",SLANDER,75
5rGrDvrLOV2VV8SCFVGWlj,88668.0,"['edm', 'electro house', 'pop dance', 'slap house', 'tropical house']",Imanbek,82
7CajNmpbOovFoOoasH2HaY,21562562.0,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",Calvin Harris,87
3Sz7ZnJQBIHsXLUSo0OQtM,1851751.0,"['edmonton indie', 'lo-fi indie']",Mac DeMarco,77
1Cs0zKBU1kc0i8ypK3B9ai,22429621.0,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",David Guetta,90
5he5w2lnU9x7JFhnwcekXX,7789284.0,"['brostep', 'complextro', 'edm', 'electro', 'pop dance']",Skrillex,80
0X2BH1fck6amBIoJhDVmmJ,9339948.0,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",Ellie Goulding,83
64KEffDW9EtZ1y2vBYgq8T,30244604.0,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']",Marshmello,88
2o5jDhtHVPhrJdv3cEQ99Z,5527032.0,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",Tiësto,87
5fMUXHkw8R8eOP2RNVYEZX,2376451.0,"['bmore', 'dance pop', 'edm', 'moombahton', 'ninja', 'pop', 'pop dance', 'tropical house']",Diplo,87
1vCWHaC5f2uS3yhpwWbIA6,19536186.0,"['dance pop', 'edm', 'pop', 'pop dance']",Avicii,85
69GGBxA162lTqCwzJG5jLp,17734996.0,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",The Chainsmokers,85
3t5xRXzsuZmMDkQzgOX35S,2699875.0,"['dance pop', 'deep euro house', 'deep house', 'edm', 'german dance', 'pop', 'pop dance', 'tropical house']",Robin Schulz,84
540vIaP2JwjQb9dm3aArA4,7310355.0,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']",DJ Snake,83
4WN5naL3ofxrVBgFpguzKo,1264137.0,"['dance pop', 'edm', 'house', 'liquid funk', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']",Rudimental,77
4ehtJnVumNf6xzSCDk8aLB,1071545.0,"['dance pop', 'danish electronic', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",Martin Jensen,77
7f5Zgnp2spUuuzKplmRkt7,2113634.0,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']",Lost Frequencies,77
2ZRQcIgzPCVaT9XKhXZIzh,677704.0,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",Gryffin,77
4D75GcNG95ebPtNvoNVXhz,3628074.0,"['big room', 'dance pop', 'dutch house', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'progressive house', 'tropical house']",Afrojack,79
5iNrZmtVMtYev5M9yoWpEq,208044.0,"['dance pop', 'edm', 'electro house', 'norwegian pop', 'pop', 'pop dance', 'pop edm', 'swedish pop', 'tropical house']",Seeb,75
0u6GtibW46tFX7koQ6uNJZ,135844.0,"['dance pop', 'edm', 'german dance', 'pop dance', 'pop edm', 'tropical house']",Topic,83
60d24wfXkVzDSfLS6hyCjZ,14588353.0,"['dance pop', 'dutch edm', 'edm', 'electro house', 'pop', 'pop dance', 'progressive house', 'tropical house']",Martin Garrix,83
738wLrAtLtCtFOLvQBXOXp,6182686.0,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop dance', 'pop rap', 'tropical house']",Major Lazer,82
6cEuCEZu7PAE9ZSzLLc2oQ,2173826.0,"['dance pop', 'dutch house', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'slap house', 'tropical house']",R3HAB,82
1Xylc3o4UrD53lo9CvFvVg,8648195.0,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']",Zara Larsson,82
4bL2B6hmLlMWnUEZnorEtG,1098740.0,"['dance pop', 'edm', 'electro house', 'german dance', 'pop', 'pop dance', 'pop edm', 'tropical house']",Felix Jaehn,81
6MDME20pz9RveH9rEXvrOM,4293412.0,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",Clean Bandit,81
2qxJFvFYMEDqd7ui6kSAcq,5426936.0,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'post-teen pop', 'tropical house']",Zedd,81
7DMveApC7UnC2NPfPvlHSU,1838014.0,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'pop rap', 'post-teen pop', 'tropical house']",Cheat Codes,78
28uJnu5EsrGml2tBd7y8ts,1484691.0,['brazilian edm'],Vintage Culture,78
4ofCBoyEiGSePFAG500xev,130024.0,"['dance pop', 'edm', 'pop dance', 'pop edm', 'slap house', 'tropical house']",Regard,78
73jBynjsVtofjRpdpRAJGk,3001982.0,"['belgian dance', 'belgian edm', 'big room', 'edm', 'electro house', 'pop dance', 'progressive electro house', 'tropical house']",Dimitri Vegas & Like Mike,77
0CbeG1224FS58EUx4tPevZ,775472.0,"['australian dance', 'big room', 'edm', 'melbourne bounce', 'melbourne bounce international', 'pop dance']",Timmy Trumpet,77
1l2ekx5skC4gJH8djERwh1,1725294.0,"['dance pop', 'edm', 'electro house', 'future house', 'house', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']",Don Diablo,75
20gsENnposVs2I4rQ5kvrf,616061.0,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']",Sam Feldt,80
5CCwRZC6euC8Odo6y9X8jr,6540956.0,"['australian pop', 'dance pop', 'edm', 'electropop', 'pop', 'pop rap', 'post-teen pop', 'tropical house', 'uk pop']",Rita Ora,79
0SfsnGyD8FpIN4U4WCkBZ5,3799329.0,"['dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']",Armin van Buuren,79
1MIVXf74SZHmTIp4V4paH4,1264050.0,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",Mabel,78
1IueXOQyABrMOprrzwQJWN,1257758.0,"['dance pop', 'edm', 'house', 'pop', 'pop dance', 'tropical house']",Sigala,78
1HBjj22wzbscIZ9sEb5dyf,3203328.0,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance']",Jonas Blue,80
77AiFEVeAVj2ORpC85QVJs,3538089.0,"['dance pop', 'edm', 'electro house', 'pop dance', 'tropical house']",Steve Aoki,80
4AVFqumd2ogHFlRbKIjp1t,3600013.0,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'progressive electro house', 'tropical house']",Alesso,79
4AKwRarlmsUlLjIwt38NLw,404713.0,"['edm', 'pop dance', 'tropical house']",Ofenbach,79
4sTQVOfp9vEMCemLw50sbu,3068664.0,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",Galantis,78
6nxWCVXbOlEVRexSbLsTer,2157188.0,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']",Flume,76
6DgP9otnZw5z6daOntINxp,174167.0,"['dance pop', 'edm', 'house', 'pop dance', 'tropical house', 'uk dance']",Joel Corry,83
