id,followers,genres,name,popularity
1t17z3vfuc82cxSDMrvryJ,279956.0,"['j-pop', 'j-rock', 'japanese alternative rock', 'japanese teen pop']",Macaroni Empitsu,66
0jWCX6zp4RjWrmZRxJ2uri,206574.0,"['j-pop', 'j-rock']",Novelbright,66
6bDWAcdtVR3WHz2xtiIPUi,213622.0,"['j-pop', 'japanese teen pop']",Fujii Kaze,65
0ixzjrK1wkN2zWBXt3VW3W,266010.0,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']",優里,72
6n4SsAp5VjvIBg3s9QCcPX,1296368.0,"['anime rock', 'j-pop', 'japanese punk rock']",Masaki Suda,69
4UK2Lzi6fBfUi9rpDt6cik,1166512.0,['j-pop'],ヨルシカ,72
7kOrrFIBIBc8uCu2zbxbLv,283447.0,"['j-pop', 'japanese teen pop']",yama,68
0Oazwl71qoHvXnbSxv0wOT,161100.0,"['anime rock', 'j-poprock', 'otacore']",BURNOUT SYNDROMES,65
0ySFZq3Wd0SQUyJUzmJAeb,554655.0,"['j-pop', 'j-poprock', 'j-rock', 'japanese teen pop']",sumika,65
64tJ2EAv1R6UaZqc4iOCyj,1416791.0,"['j-pop', 'japanese teen pop']",YOASOBI,81
3z8diLlUCkN1j9N9ZdnfBJ,547190.0,['j-pop'],NiziU,72
3PWp9R5HvbQgxI5KBx5kVd,694716.0,"['anime', 'j-pop', 'j-poprock', 'j-rock', 'otacore']",KANA-BOON,67
38WbKH6oKAZskBhqDFA8Uj,645029.0,['j-pop'],ZUTOMAYO,69
7lbSsjYACZHn1MSDXPxNF2,1931541.0,"['classic j-pop', 'j-pop', 'japanese singer-songwriter']",Hikaru Utada,72
5kjGRHClVacSyllOUqU1S0,1091300.0,"['classic j-pop', 'j-pop', 'j-rock']",SPITZ,66
1qma7XhwZotCAucL7NHVLY,2089422.0,"['classic j-pop', 'j-pop', 'j-rock']",Mr.Children,67
6m14xgA0m3w92UM7ujJgky,875196.0,"['anime', 'j-pop', 'j-poprock', 'otacore']",UVERworld,67
0MK8l3nURwwQIjafvXoJJt,768579.0,"['anime', 'anime score', 'j-pop', 'j-poprock', 'j-rock', 'japanese emo', 'japanese pop punk', 'otacore']",ASIAN KUNG-FU GENERATION,65
1XYuC1vxinTjHCNd5clB8C,1297051.0,['j-pop'],ARASHI,71
1S2S00lgLYLGHWA44qGEUs,852637.0,"['j-acoustic', 'j-pop', 'j-rock', 'japanese singer-songwriter']",Gen Hoshino,66
6rs1KAoQnFalSqSU4LTh8g,2343832.0,"['j-pop', 'j-rock']",back number,69
5YneEA2nLtAhkD5t2769lZ,871957.0,"['anime', 'j-pop', 'j-poprock']",Ikimonogakari,69
08lN7bm4Etec8ETFxaTUmq,911108.0,"['j-idol', 'j-pop', 'j-pop girl group']",Nogizaka46,67
4QvgGvpgzgyUOo8Yp8LDm9,1653838.0,"['anime rock', 'j-pop', 'j-rock']",Mrs. GREEN APPLE,72
3w2HqkKa6upwuXEULtGvnY,320185.0,"['anime', 'j-poprock', 'otacore']",FLOW,66
1snhtMLeb2DYoMOcVbb8iB,2749745.0,"['anime', 'j-pop']",Kenshi Yonezu,73
5Vo1hnCRmCM6M4thZCInCj,3399308.0,"['anime rock', 'j-pop']",Official HIGE DANdism,75
3B9O5mYYw89fFXkwKh7jCS,274833.0,"['anime', 'j-poprock', 'j-rock', 'otacore']",TK from Ling tosite sigure,68
7HwzlRPa9Ad0I8rK0FPzzK,1226353.0,"['anime', 'j-pop']",SEKAI NO OWARI,67
7JthQ6zwNzfxRfIEjp6wUs,682582.0,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']",HIRAIDAI,72
0bAsR2unSRpn6BQPEnNlZm,1414944.0,"['anime', 'anime rock', 'j-pixie', 'j-pop', 'j-poprock']",Aimer,70
0blbVefuxOGltDBa00dspv,1790198.0,"['anime', 'anime rock', 'j-pixie', 'j-pop']",LiSA,76
7k73EtZwoPs516ZxE72KsO,3744694.0,"['j-pop', 'j-poprock', 'j-rock', 'japanese emo', 'visual kei']",ONE OK ROCK,73
5kVZa4lFUmAQlBogl1fkd6,2981721.0,"['j-acoustic', 'j-pop']",Aimyon,73
2IUl3m1H1EQ7QfNbNWvgru,303508.0,"['j-pop', 'japanese soul']",Vaundy,72
6wxfx1yhyqjCPYwwxJktR2,1679225.0,"['j-pop', 'j-rock']",King Gnu,70
1EowJ1WwkMzkCkRomFhui7,2346815.0,"['j-pop', 'j-poprock', 'j-rock', 'japanese emo', 'visual kei']",RADWIMPS,74
7jGn8qhLb48n7yMMNfAoHv,107556.0,"['city pop', 'j-pop', 'j-poprock', 'j-rock', 'japanese alternative rock']",Awesome City Club,66
0jJmZHZHNe8n24Y33z5Nil,254003.0,"['j-division', 'j-pop']",DISH//,67
0PYPjvZaOa7bsCq26JOX8d,167118.0,"['anime', 'anime rock', 'j-pop', 'otacore']",Vickeblanka,68
3jpPlA4ASvE9TlObazOIee,75861.0,"['j-pop', 'japanese pop rap']",BLOOM VASE,66
