id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
6eDApnV9Jdb1nYahOlbbUh,One Time,71,215867,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2009-01-01,0.691,0.853,1,-2.528,0,0.0372,0.0631,7.13e-05,0.082,0.762,145.999,4
69ghzc538EQSVon2Gm3wrr,One Less Lonely Girl,69,229107,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2009-01-01,0.58,0.75,4,-4.421,1,0.194,0.159,0.0,0.274,0.728,86.938,4
0yIywEquxORnu1dR0WYsdN,Love Me,67,191573,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2009-01-01,0.729,0.868,3,-3.319,1,0.0609,0.00939,0.0,0.283,0.632,124.957,4
4nTjkWK590oBDcnIxTr1mI,Favorite Girl,58,256800,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2009-01-01,0.581,0.681,7,-4.469,1,0.0435,0.0472,0.0,0.104,0.634,176.034,4
6epn3r7S14KUqlReYr77hA,Baby,79,214240,0,"['Justin Bieber', 'Ludacris']","['1uNFoZAHBGtllmzznpCI3s', '3ipn9JLAPI5GUEo4y4jcoi']",2010-01-01,0.728,0.859,5,-5.237,0,0.137,0.0401,0.0,0.111,0.535,65.043,4
4vVTI94F9uJ8lHNDWKv0i2,Eenie Meenie,79,201947,0,"['Sean Kingston', 'Justin Bieber']","['6S0dmVVn4udvppDhZIWxCr', '1uNFoZAHBGtllmzznpCI3s']",2010-03-23,0.72,0.607,1,-4.168,1,0.0322,0.0543,0.0,0.113,0.828,121.223,4
0aPZbnkMoWJaJ5CNVLCj8S,That Should Be Me,70,232720,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2010-01-01,0.552,0.603,8,-5.71,1,0.0334,0.199,0.0,0.151,0.231,139.908,4
3rLIv187BhjyweFe89SgLn,Somebody To Love,70,220920,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2010-01-01,0.714,0.833,5,-5.239,1,0.0259,0.00249,0.0,0.298,0.663,129.964,4
6Xw2FLih8m5ItDbyP992HH,U Smile,64,196907,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2010-01-01,0.705,0.59,1,-5.308,1,0.0284,0.504,0.0,0.116,0.421,112.565,3
1DyV9obL0pPibOjW5ufg15,Stuck In The Moment,60,222960,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2010-01-01,0.721,0.698,0,-6.353,0,0.0526,0.165,0.0,0.133,0.365,89.987,4
7gd01LMH2gBcoDngSt8sq9,Next To You (feat. Justin Bieber),72,265813,0,"['Chris Brown', 'Justin Bieber']","['7bXgB6jMjp9ATFy66eO08Z', '1uNFoZAHBGtllmzznpCI3s']",2011-03-22,0.67,0.676,8,-4.725,1,0.037,0.0201,0.0,0.11,0.349,114.974,4
5GYbkDveRD2I8M5ZJ14hWn,Never Say Never,72,227853,0,"['Justin Bieber', 'Jaden']","['1uNFoZAHBGtllmzznpCI3s', '0xOeVMOz2fVg5BJY3N6akT']",2011-01-01,0.739,0.807,0,-5.063,1,0.0652,0.0181,0.0,0.295,0.632,97.048,4
7xapw9Oy21WpfEcib2ErSA,Mistletoe,64,182947,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2011-01-01,0.657,0.56,6,-9.049,0,0.0467,0.498,0.0,0.0794,0.854,161.993,4
190jyVPHYjAqEaOGmMzdyk,Beauty And A Beat,74,227987,0,"['Justin Bieber', 'Nicki Minaj']","['1uNFoZAHBGtllmzznpCI3s', '0hCNtLu0JehylgoiP8L4Gh']",2012-06-15,0.602,0.843,0,-4.831,1,0.0593,0.000688,5.27e-05,0.0682,0.526,128.003,4
3UGIZ8qcrMTwzLbx6Kttqt,Boyfriend,73,171333,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2012-01-01,0.717,0.55,10,-6.019,0,0.0521,0.0358,0.00196,0.126,0.332,96.976,4
0pwYLVXVknPSGUQb39cePC,As Long As You Love Me,71,229467,0,"['Justin Bieber', 'Big Sean']","['1uNFoZAHBGtllmzznpCI3s', '0c173mlxpT3dSFRgMO8XPh']",2012-06-15,0.571,0.873,0,-3.382,0,0.1,0.0811,0.0,0.361,0.613,139.691,4
1Mg8vLBYwizu7AuhYQO64V,All Around The World,63,244547,0,"['Justin Bieber', 'Ludacris']","['1uNFoZAHBGtllmzznpCI3s', '3ipn9JLAPI5GUEo4y4jcoi']",2012-06-15,0.689,0.816,3,-3.951,0,0.178,0.0188,2.42e-06,0.181,0.776,127.972,4
01TuObJVd7owWchVRuQbQw,#thatPOWER,70,279507,0,"['will.i.am', 'Justin Bieber']","['085pc2PYOi8bGKj0PNjekA', '1uNFoZAHBGtllmzznpCI3s']",2013-01-01,0.797,0.608,6,-6.096,0,0.0584,0.00112,7.66e-05,0.0748,0.402,127.999,4
30Co9eN7JHPf1i2wEyVSMJ,Nothing Like Us,65,199800,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2013-01-01,0.546,0.155,0,-14.378,1,0.0428,0.987,6.02e-05,0.18,0.512,72.331,4
2xtIAFJIMkzHGHiCrJ9iwd,Lolly,65,225507,1,"['Maejor', 'Juicy J', 'Justin Bieber']","['3XcCT5MPlQPWFTJyzXbfuX', '5gCRApTajqwbnHHPbr2Fpi', '1uNFoZAHBGtllmzznpCI3s']",2013-01-01,0.663,0.889,1,-2.975,1,0.303,0.0376,0.0,0.784,0.837,152.186,4
3JsydWaf2Ev4ehaLUjj3SY,Confident,73,248133,0,"['Justin Bieber', 'Chance the Rapper']","['1uNFoZAHBGtllmzznpCI3s', '1anyVhU62p31KFi8MEzkbf']",2014-05-13,0.741,0.565,5,-5.448,0,0.108,0.114,0.0,0.205,0.892,134.122,4
6CLVh9sekZ1p2G8Tfhhj8h,All That Matters,66,191173,0,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2014-05-13,0.698,0.509,1,-5.798,1,0.0503,0.00535,0.0,0.0703,0.143,129.865,4
