id,followers,genres,name,popularity
6UbmqUEgjLA6jAcXwbM1Z9,137106.0,"['k-pop', 'korean r&b']",BIBI,61
20j1uz7iDOtIvIzCr5S8nx,427379.0,['k-pop'],SEUNGRI,61
7zYj9S9SdIunYCfSm7vzAR,473202.0,['k-pop'],SOMI,61
4YXNoMVTHRt01jYaKXTumJ,26742.0,['korean electronic'],Raiden,63
0CmvFWTX9zmMNCUi6fHtAx,1231768.0,"['k-pop', 'k-pop boy group']",THE BOYZ,65
1lHfzEkKmmvdVDDDLKkcsd,363420.0,['k-pop'],CIX,60
5BHFSMEjfLVx1JwRWjAOsE,1477592.0,['k-pop'],SuperM,66
5vGoWnZO65NBgiZYBmi3iW,508194.0,['k-pop'],KANG DANIEL,62
2hcsKca6hCfFMwwdbFvenJ,1140772.0,"['k-pop', 'k-pop boy group']",BTOB,60
6QyO41KctzGc70mVaVnXQO,875293.0,"['k-pop', 'k-pop girl group', 'korean city pop']",CLC,60
2KC9Qb60EaY0kW4eH68vr3,1844093.0,['k-pop girl group'],ITZY,74
5DuzBeOgFwViFcv00Q5PFb,2042372.0,"['k-pop', 'k-pop boy group']",WINNER,62
7l8rOFwZFQ3G0sgZ7gjGng,132136.0,"['k-pop', 'korean pop']",Jung Seung Hwan,60
3CVYSpM7nfHFG5qCTW7Ht9,529333.0,"['k-pop', 'k-pop boy group']",ONEUS,61
6dhfy4ByARPJdPtMyrUYJK,308206.0,"['k-indie', 'k-pop', 'korean pop']",Yerin Baek,63
5na1LmEmK2VzNLje9snJYW,1148403.0,"['k-pop', 'k-pop boy group']",The Rose,65
0tzSBCPJZmHTdOA3ZV2mN3,733838.0,['k-pop'],CL,65
0ghlgldX5Dd6720Q3qFyQB,3334132.0,"['k-pop', 'k-pop boy group']",TOMORROW X TOGETHER,76
1qBsABYUrxg9afpMtyoFKz,1202596.0,"['chinese idol pop', 'k-pop']",WayV,71
5RR0MLwcjc87wjSw2JYdwx,2350076.0,"['k-pop', 'k-pop girl group']",MOMOLAND,62
3ZZzT0naD25RhY2uZvIKkJ,867390.0,"['k-pop', 'k-pop girl group']",EVERGLOW,68
0siBQaURCli5wn2lqv8WZg,513752.0,"['chill r&b', 'k-pop', 'k-rap', 'korean r&b']",DPR LIVE,66
57W9ikVc6O2wLDtmclSjvN,253405.0,"['k-rap', 'korean r&b']",Simon Dominic,61
1z4g3DjTBBZKhvAroFlhOM,5142697.0,"['k-pop', 'k-pop girl group']",Red Velvet,76
3hvinNZRzTLoREmqFiKr1b,174997.0,"['k-rap', 'korean pop', 'korean r&b']",CHANGMO,67
6iVo62B0bdTknRcrktCmak,376295.0,['k-pop'],KAI,66
2019zR22qK2RBvCqtudBaI,918551.0,"['k-pop', 'k-pop girl group']",OH MY GIRL,63
6hhqsQZhtp9hfaZhSd0VSD,434805.0,"['k-pop', 'k-pop girl group']",WJSN,61
6zn0ihyAApAYV51zpXxdEp,227406.0,"['k-indie', 'k-pop', 'korean pop']",10cm,60
4oEXworvhegyK83rZwVyWL,117781.0,"['chill r&b', 'k-pop', 'k-rap', 'korean r&b']",GSoul,62
6Xg22wJOAcnvPUfk5WvODH,268405.0,['k-pop'],SOYEON,61
7lXgbtBDcCRbfc5f8FhGUL,235294.0,"['chill r&b', 'k-pop', 'k-rap', 'korean r&b']",Hoody,61
1mORehSVEd7lcaT2d7Sl2K,663516.0,"['k-indie', 'k-pop', 'korean r&b']",SURAN,60
7ieMQQDR0bdBPz572mtxwS,603883.0,['k-pop'],BOBBY,61
4BBN286rBKyCWsSPq2cxYO,244737.0,"['chill r&b', 'k-pop', 'korean pop', 'korean r&b']",Sam Kim,62
0ebNdVaOfp6N0oZ1guIxM8,433567.0,['k-pop'],SUGA,71
2JhAlkmukNvarUpGhTFXUQ,1371515.0,['k-pop'],KARD,62
3eCd0TZrBPm2n9cDG6yWfF,1048128.0,"['k-pop', 'korean r&b']",DEAN,68
1hatwkL9sjz45yLimEcQOS,263337.0,"['korean instrumental', 'piano cover']",Smyang Piano,64
6YVMFz59CuY7ngCxTxjpxE,320148.0,['k-pop girl group'],aespa,63
250b0Wlc5Vk0CoUsaCY84M,693199.0,['k-pop'],JENNIE,65
2e4G04F77jxVuDYo44TCSm,231944.0,"['k-pop', 'korean r&b']",Loco,65
7cVZApDoQZpS447nHTsNqu,843011.0,"['k-pop', 'korean pop']",LeeHi,69
0FRUZvZNPzM3YJMABJxf2K,423546.0,"['k-pop', 'korean pop']",WENDY,68
5r1tUTxVSgvBHnoDuDODPH,903109.0,"['k-pop', 'k-pop girl group']",IZ*ONE,71
4ufh0WuMZh6y4Dmdnklvdl,1835502.0,['k-pop'],BAEKHYUN,74
3uGFTJ7JMllvhgGpumieHF,811889.0,"['k-pop', 'korean pop']",AILEE,62
1l0mKo96Jh9HVYONcRl3Yp,1817155.0,"['dance pop', 'k-pop', 'k-pop girl group']",2NE1,61
6aLdhHUqgdKE86xbtNmY8g,818630.0,"['chill r&b', 'k-pop', 'korean r&b']",Crush,71
6f9bmfkqiYbhCtdAZsv7KI,269285.0,"['korean trap', 'underground hip hop']",Keith Ape,60
7nqOGRxlXj7N2JYbgNEjYH,5087427.0,"['k-pop', 'k-pop boy group']",SEVENTEEN,76
3ytV7vc4ZuwGgwaOuWvkk8,780797.0,['k-pop'],MINO,62
3UwlejyX2b458azZ7eCnHb,1326022.0,['k-pop'],HyunA,66
1kfWoWgCugPkyxQP8lkRlY,2119466.0,"['hong kong hip hop', 'k-pop']",Jackson Wang,71
4k5fFEYgkWYrYvtOK3zVBl,1035846.0,['k-pop'],BOL4,67
5V1qsQHdXNm4ZEZHWvFnqQ,661755.0,"['k-pop', 'k-pop girl group']",DREAMCATCHER,69
5FsfZj0Mp6YwEWytuJUcWt,169119.0,"['chillhop', 'japanese chillhop', 'korean r&b', 'lo-fi beats']",Jinsang,65
1sjw4xq2pAWy5Vdgba5QAt,342493.0,"['k-pop', 'korean pop']",Henry,64
5snNHNlYT2UrtZo5HCJkiw,494099.0,"['k-pop', 'k-rap', 'korean old school hip hop', 'korean pop']",Epik High,64
0qlWcS66ohOIi0M8JZwPft,1124418.0,"['k-pop', 'k-pop girl group']",GFRIEND,67
4z6yrDz5GfKXkeQZjOaZdq,555680.0,"['k-pop', 'korean pop']",DAVICHI,62
0Sadg1vgvaPqGTOjxu0N6c,1860723.0,"['j-idol', 'k-pop', 'k-pop girl group']",Girls' Generation,66
2FLqlgckDKdmpBrvLAT5BM,1078885.0,['k-pop'],Eric Nam,64
30b9WulBM8sFuBo17nNq9c,2284844.0,"['k-pop', 'k-rap']",G-DRAGON,65
6OwKE9Ez6ALxpTaKcT5ayv,849786.0,"['k-pop', 'korean pop']",AKMU,64
0fauHpmSHwodVYIjTqOGHz,833770.0,"['korean instrumental', 'neo-classical', 'new age piano']",Yiruma,71
13rF01aOogvnkuQXOlgTW8,1771331.0,['k-pop'],TAEMIN,68
5DIi2JWfQPTKffaVBlIYRn,326515.0,"['k-pop', 'k-rap', 'korean r&b']",Sik-K,64
3ybZTNrlK0QhL4rBxfLHOc,198780.0,"['k-pop', 'korean pop']",Gaho,64
2dd5mrQZvg6SmahdgVKDzh,1166880.0,"['k-pop', 'k-rap', 'korean old school hip hop']",PSY,64
0UEP2XBR9aC5NBKcAKnBIq,1178465.0,"['k-pop', 'korean pop']",CHEN,63
64k5e9kV9MdukXjFrR5R37,528753.0,['k-pop'],Jessi,68
6MoXcK2GyGg7FIyxPU5yW6,2153144.0,['k-pop'],SUNMI,68
41MozSoPIsD1dJM0CLPjZF,20950428.0,"['k-pop', 'k-pop girl group']",BLACKPINK,87
0XATRDCYuuGhk0oE7C0o5G,3617556.0,"['k-pop', 'k-pop girl group']",MAMAMOO,73
4muJrGMndyYWqZtfk8OWy4,586583.0,"['j-idol', 'k-pop']",BoA,60
4TnGh5PKbSjpYqpIdlW5nz,3418071.0,"['k-pop', 'k-pop boy group']",Monsta X,71
72nLe76yBFSlP6VBzME358,236919.0,['k-pop'],SHAUN,67
7t5H3uQv0Zw6cQUnSTF5BB,116292.0,"['k-pop', 'k-pop girl group']",Brave Girls,66
3Nrfpe0tUJi4K4DXYWgMUX,31623813.0,"['k-pop', 'k-pop boy group']",BTS,96
4XDi67ZENZcbfKnvMnTYsI,1361159.0,"['k-pop', 'k-rap', 'korean r&b']",Jay Park,73
1gBUSTR3TyDdTVFIaQnc02,2976964.0,"['k-pop', 'k-pop boy group']",NCT DREAM,71
4pz4uzOMpJQyV8UTsDy4H8,1357968.0,"['k-pop', 'k-pop boy group']",ASTRO,68
7bmYpVgQub656uNTu6qGNQ,1574224.0,"['k-pop', 'korean mask singer']",Hwa Sa,68
6jV25rzTKQ2zMgrqHha1V5,1293674.0,['k-pop'],CHANYEOL,69
6gzXCdfYfFe5XKhPKkYqxV,1980623.0,"['k-pop', 'k-pop boy group']",SUPER JUNIOR,69
1wKpMkucynaTfG8lyPprYV,1284043.0,"['k-pop', 'k-pop boy group']",PENTAGON,67
2FgZrgTMX6Sk0VNcOsEPmm,159986.0,"['k-pop', 'korean pop']",Punch,65
3HqSLMAZ3g3d5poNaI7GOU,3820336.0,['k-pop'],IU,80
6nfDaffa50mKtEOwR8g4df,4790601.0,"['k-pop', 'k-pop boy group']",GOT7,73
5TnQc2N1iKlFjYD7CPGvFc,2132701.0,"['k-pop', 'k-pop boy group']",DAY6,73
52zMTJCKluDlFwMQWmccY7,1190909.0,"['k-pop', 'k-pop girl group']",LOONA,69
5qRSs6mvI17zrkJpOHkCoM,2965837.0,"['k-pop', 'k-pop boy group']",iKON,70
4Kxlr1PRlDKEB0ekOCyHgX,4342889.0,"['k-pop', 'k-pop boy group']",BIGBANG,70
5HenzRvMtSrgtvU16XAoby,447332.0,"['k-pop', 'k-rap', 'korean pop', 'korean r&b']",Zion.T,60
7n2Ycct7Beij7Dj7meI4X0,8676701.0,"['k-pop', 'k-pop girl group']",TWICE,83
2AfmfGFbe0A0WsTYm0SDTx,2456936.0,"['k-pop', 'k-pop girl group']",(G)I-DLE,76
68KmkJeZGfwe1OUaivBa2L,1417452.0,"['k-pop', 'k-pop boy group']",ATEEZ,75
3cjEqqelV9zb4BYE3qDQ4O,7657868.0,"['k-pop', 'k-pop boy group']",EXO,76
7f4ignuCJhLXfZ9giKT7rH,3892609.0,"['k-pop', 'k-pop boy group']",NCT 127,76
