id,followers,genres,name,popularity
7jVv8c5Fj3E9VhNjxT4snq,4562300.0,"['country rap', 'lgbtq+ hip hop', 'pop rap', 'queer country']",Lil Nas X,89
4GNC7GD6oZMSxPGyXy4MNB,7544862.0,"['pop', 'uk pop']",Lewis Capaldi,86
4npEfmQ6YuiwW1GpUmaq3F,3284229.0,"['dance pop', 'pop']",Ava Max,86
7n2wHs1TKAczGzO7Dd2rGr,32419313.0,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",Shawn Mendes,89
07YUOmWljBTXwIseAUd9TW,15150418.0,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",Sebastian Yatra,85
23fqKkggKUBHNkbKtXEls4,7362032.0,"['edm', 'pop', 'pop dance', 'tropical house']",Kygo,86
5cj0lLjcoR7YOSnhnX0Po5,6208117.0,"['dance pop', 'pop', 'pop rap']",Doja Cat,91
4fxd5Ee7UefO4CUXgwJ7IP,946550.0,"['pop', 'r&b']",Giveon,91
6KImCVD70vtIoJWnq6nGn3,14086781.0,"['pop', 'post-teen pop']",Harry Styles,90
6fOMl44jA4Sp5b9PpYCkzz,5312500.0,"['hip hop', 'pop rap', 'rap']",NF,88
6ASri4ePR7RlsvIQgWPJpS,1102715.0,"['melodic rap', 'pop rap']",iann dior,87
4kYSro6naA4h99UJvo89HB,15762250.0,"['pop', 'pop rap', 'post-teen pop', 'rap']",Cardi B,90
3MZsBdqDrRTJihTHQrO6Dq,4370727.0,"['alternative r&b', 'viral pop']",Joji,85
7CajNmpbOovFoOoasH2HaY,21562562.0,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",Calvin Harris,87
06HL4z0CvFAxyc27GXpf02,38869193.0,"['pop', 'post-teen pop']",Taylor Swift,98
0C8ZW7ezQVs4URX5aX7Kqx,26692413.0,"['dance pop', 'pop', 'post-teen pop']",Selena Gomez,89
5YGY8feqx7naU7z4HrwZM6,14779387.0,"['dance pop', 'pop', 'post-teen pop']",Miley Cyrus,88
1i8SpTcr7yvPOmcqrbnVXY,27772492.0,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",Ozuna,93
28gNT5KBp7IjEOQoevXf9N,8342103.0,"['colombian pop', 'reggaeton colombiano']",Camilo,90
6qqNVTkY8uBg9cP3Jd7DAH,41792604.0,"['electropop', 'pop']",Billie Eilish,92
4YRxDV8wJFPHPTeXepOstw,26249666.0,"['desi pop', 'filmi', 'modern bollywood']",Arijit Singh,85
6vWDO969PvNqNYHIOW5v0m,27048881.0,"['dance pop', 'pop', 'post-teen pop', 'r&b']",Beyoncé,88
1Cs0zKBU1kc0i8ypK3B9ai,22429621.0,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",David Guetta,90
1yxSLGMDHlW21z4YXirZDS,5594057.0,"['dance pop', 'pop', 'pop rap']",Black Eyed Peas,86
0EmeFodog0BfCgMzAIvKQp,21454012.0,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",Shakira,87
7bXgB6jMjp9ATFy66eO08Z,13493933.0,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",Chris Brown,90
07YZf4WDAMNwqr4jfgOZ8y,9223795.0,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",Jason Derulo,88
3fMbdgg4jU18AjLCKBhRSm,18138825.0,"['pop', 'r&b', 'soul']",Michael Jackson,85
0TnOYISbd1XYRBk9myaseg,8359480.0,"['dance pop', 'latin', 'miami hip hop', 'pop', 'pop rap']",Pitbull,86
77SW9BnxLY8rJ0RciFqkHh,5906677.0,"['modern alternative rock', 'modern rock', 'pop', 'shimmer pop']",The Neighbourhood,86
3q7HBObVc0L8jNeTe5Gofh,7036668.0,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",50 Cent,85
6eUKZXaKkcviH0Ku9w2n3V,78900234.0,"['pop', 'uk pop']",Ed Sheeran,92
1RyvyyTE3xzB2ZywiAwp0i,10099191.0,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Future,91
4AK6F7OLvEQ5QYCBNiQWHq,20934285.0,"['boy band', 'pop', 'post-teen pop', 'talent show']",One Direction,90
55Aa2cqylxrFIXC767Z865,10309562.0,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",Lil Wayne,90
77ziqFxp5gaInVrF2lj4ht,7865082.0,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",Sech,89
4gzpq5DPGxSnKTe4SA8HAU,29753797.0,"['permanent wave', 'pop']",Coldplay,89
20wkVLutqVOYrc0kxFs7rA,2588034.0,"['canadian contemporary r&b', 'pop', 'r&b']",Daniel Caesar,89
6TIYQ3jFPwQSRmorSezPxX,3370875.0,"['ohio hip hop', 'pop rap']",Machine Gun Kelly,88
2wY79sveU1sp5g7SokKOiI,16141960.0,"['dance pop', 'pop', 'post-teen pop', 'uk pop']",Sam Smith,88
41MozSoPIsD1dJM0CLPjZF,20950428.0,"['k-pop', 'k-pop girl group']",BLACKPINK,87
6jJ0s89eD6GaHleKKya26X,18021998.0,"['dance pop', 'pop', 'post-teen pop']",Katy Perry,87
2cFrymmkijnjDg9SS92EPM,4084767.0,"['electropop', 'pop', 'pop rap']",blackbear,87
3nFkdlSjzX9mRTtwJOzDYB,6126502.0,"['east coast hip hop', 'hip hop', 'pop rap', 'rap']",JAY-Z,87
1uNFoZAHBGtllmzznpCI3s,44606973.0,"['canadian pop', 'pop', 'post-teen pop']",Justin Bieber,100
