id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3SEd8nPd8MpGwk6ZZ8tk2j,Mamacita (feat. Rich Homie Quan & Young Thug),67,274320,1,"['Travis Scott', 'Rich Homie Quan', 'Young Thug']","['0Y5tJX1MQlPlqiwlOH1tJY', '5lHRUCqkQZCIWeX7xG4sYT', '50co4Is1HCEo8bhOyUWKpn']",2014-08-18,0.823,0.768,11,-6.21,1,0.0819,0.0146,1.03e-06,0.127,0.216,115.021,4
51EC3I1nQXpec4gDk0mQyP,90210 (feat. Kacy Hill),77,339067,1,"['Travis Scott', 'Kacy Hill']","['0Y5tJX1MQlPlqiwlOH1tJY', '4dYQmk5ma04mZ1KJ9KkAQK']",2015-09-04,0.402,0.526,9,-6.741,0,0.0904,0.113,8.33e-06,0.105,0.312,81.404,4
1wHZx0LgzFHyeIZkUydNXq,Antidote,77,262693,1,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],2015-09-04,0.713,0.526,1,-5.046,1,0.032,0.00767,0.000148,0.124,0.131,131.05,4
6Yqmv7XJLCrQEauMbPGZSw,Maria I'm Drunk (feat. Justin Bieber & Young Thug),70,349933,1,"['Travis Scott', 'Justin Bieber', 'Young Thug']","['0Y5tJX1MQlPlqiwlOH1tJY', '1uNFoZAHBGtllmzznpCI3s', '50co4Is1HCEo8bhOyUWKpn']",2015-09-04,0.648,0.631,4,-5.662,0,0.103,0.377,0.0,0.12,0.142,105.989,4
1SGt65i9AnXYdDQt1AtDRH,3500 (feat. Future & 2 Chainz),68,461840,1,"['Travis Scott', 'Future', '2 Chainz']","['0Y5tJX1MQlPlqiwlOH1tJY', '1RyvyyTE3xzB2ZywiAwp0i', '17lzZA2AlOHwCwFALHttmp']",2015-09-04,0.773,0.595,8,-6.062,0,0.161,0.114,2.47e-06,0.13,0.338,123.968,4
3xby7fOyqmeON8jsnom0AT,Nightcrawler (feat. Swae Lee & Chief Keef),66,321560,1,"['Travis Scott', 'Swae Lee', 'Chief Keef']","['0Y5tJX1MQlPlqiwlOH1tJY', '1zNqQNIdeOUZHb8zbZRFMX', '15iVAtD3s3FsQR4w1v6M0P']",2015-09-04,0.522,0.728,3,-3.801,0,0.0323,0.00134,0.0,0.132,0.18,124.045,4
2rMFawCg4BW65jzbwztXAV,Oh My Dis Side (feat. Quavo),66,351253,1,"['Travis Scott', 'Quavo']","['0Y5tJX1MQlPlqiwlOH1tJY', '0VRj0yCOv2FXJNP47XQnx5']",2015-09-04,0.459,0.623,1,-4.45,1,0.0489,0.352,0.0,0.131,0.205,126.018,4
6gBFPUFcJLzWGx4lenP6h2,goosebumps,88,243837,1,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],2016-09-16,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,4
20dP2DaMHIAmwWAbp7peSr,pick up the phone,73,252256,1,"['Young Thug', 'Travis Scott']","['50co4Is1HCEo8bhOyUWKpn', '0Y5tJX1MQlPlqiwlOH1tJY']",2016-09-16,0.711,0.739,7,-3.804,0,0.129,0.114,0.0,0.226,0.43,136.919,4
0ESJlaM8CE1jRWaNtwSNj8,beibs in the trap,72,213863,1,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],2016-09-16,0.743,0.571,7,-6.054,0,0.145,0.24,0.0,0.291,0.495,119.054,4
1Ci4wASMY4xtKVMeHA6Sd5,through the late night,71,286236,1,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],2016-09-16,0.744,0.589,5,-1.218,0,0.0359,0.36,0.0,0.119,0.242,127.051,4
1cZlBZwnwGPtYeRIeQcoFh,wonderful,69,216946,1,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],2016-09-16,0.769,0.569,1,-5.591,0,0.0786,0.0737,0.0,0.0571,0.612,146.062,4
2nBI3iWLhupR7LyAJ5GGkE,Champions,69,334253,1,"['Kanye West', 'Gucci Mane', 'Big Sean', '2 Chainz', 'Travis Scott', 'Yo Gotti', 'Quavo', 'Desiigner']","['5K4W6rqBFWDnAN6FQUkS6x', '13y7CgLHjMVRMDqxdx0Xdo', '0c173mlxpT3dSFRgMO8XPh', '17lzZA2AlOHwCwFALHttmp', '0Y5tJX1MQlPlqiwlOH1tJY', '6Ha4aES39QiVjR0L2lwuwq', '0VRj0yCOv2FXJNP47XQnx5', '7pFeBzX627ff0VnN6bxPR4']",2016-06-10,0.692,0.774,6,-2.48,0,0.0876,0.0623,0.0,0.873,0.349,134.952,4
2Zy7XVdxyZQB8xp5xbpJdl,way back,68,272501,1,['Travis Scott'],['0Y5tJX1MQlPlqiwlOH1tJY'],2016-09-16,0.396,0.554,0,-5.048,1,0.0488,0.222,0.0,0.612,0.17,117.384,4
0q75NwOoFiARAVp4EXU4Bs,Love Galore (feat. Travis Scott),80,275080,1,"['SZA', 'Travis Scott']","['7tYKF4w9nC0nq9CsPZTHyP', '0Y5tJX1MQlPlqiwlOH1tJY']",2017-06-09,0.795,0.594,0,-6.2,1,0.0748,0.112,0.0,0.162,0.409,135.002,4
5WoaF1B5XIEnWfmb5NZikf,Sky Walker (feat. Travis Scott),76,259333,1,"['Miguel', 'Travis Scott']","['360IAlyVv4PCEVjgyMZrxK', '0Y5tJX1MQlPlqiwlOH1tJY']",2017-12-01,0.674,0.506,6,-10.532,1,0.0434,0.173,0.0,0.0866,0.183,145.965,4
2bjwRfXMk4uRgOD9IBYl9h,Portland,73,236615,1,"['Drake', 'Quavo', 'Travis Scott']","['3TVXtAsR1Inumwj472S9r4', '0VRj0yCOv2FXJNP47XQnx5', '0Y5tJX1MQlPlqiwlOH1tJY']",2017-03-18,0.925,0.443,1,-8.216,1,0.264,0.0172,0.0,0.276,0.35,136.078,4
