id,followers,genres,name,popularity
1KXJUpTiNeMv93LrJbbm7G,207608.0,['anime'],美波,63
7cGkvEcOOYVtNdfkf3s1tK,28101.0,"['anime score', 'japanese classical', 'japanese vgm']",Yasunori Mitsuda,50
2SIBY7Jwq1kYng12Zguo3C,130327.0,"['anime', 'j-pixie']",ReoNa,59
6Gem5Nh6gd9PCtWdzR7Odh,196651.0,"['anime rock', 'j-pop', 'j-poprock', 'j-rock', 'japanese alternative rock']",04 Limited Sazabys,50
7gRg6C2qgQ1F01k3sgyEVt,383501.0,"['anime', 'anime rock', 'j-pop', 'j-poprock']",SPYAIR,61
45b70w0HEIshoMZiGvFN61,11264.0,['anime latino'],Animelmack,56
6yLTrq59HxfE6aTq8r4gVP,14395.0,"['anime', 'j-poprock']",STEREO DIVE FOUNDATION,52
37aR5PqATWZwKvh9nkebho,75451.0,"['anime latino', 'otacore']",dj-Jo,57
5KK1FO30lzYPqnPYyS9bu5,56263.0,['anime latino'],Adrian Barba,52
2hYjPkmTry3LYVVSymws5i,93148.0,"['anime', 'love live']",μ's,52
64mecceQewFCKwCK6JBW0o,31238.0,"['anime', 'anime score', 'j-poprock', 'japanese celtic', 'otacore']",Yasuharu Takanashi,57
0y7gVi2MozEY4IyyDWKWqQ,71879.0,"['anime rock', 'j-pixie', 'j-poprock']",kankakupiero,55
1CWmF1EcrKoWIbZt9Ivfg2,266840.0,"['anime', 'j-pop', 'j-poprock', 'j-rock', 'japanese alternative rock']",BLUE ENCOUNT,60
6t6aXZlmnAF1VuiG8BVjQZ,304986.0,"['anime rock', 'japanese power metal', 'vocaloid']",Mafumafu,57
3FDDeKHEecoQUOBHCgExUy,15091.0,['anime'],大原ゆい子,51
4bykb0rz2eT2t2kzihCsne,112004.0,"['anime latino', 'j-poprock', 'otacore']",BRADIO,54
7p1fL0cAuCPDMG6oBswFhM,111429.0,"['anime rock', 'otacore', 'vocaloid']",Maretu,61
6n4SsAp5VjvIBg3s9QCcPX,1296368.0,"['anime rock', 'j-pop', 'japanese punk rock']",Masaki Suda,69
7unNuvk3OEqGmegHTaxRA9,454097.0,"['anime', 'classic j-pop', 'j-pop', 'j-poprock', 'j-rock']",JUDY AND MARY,53
0mxcC38vLiMEP8g4MVNhO4,59391.0,"['anime', 'j-poprock']",Nano,53
2zwGPEFviyaICCDiAWxLjy,66079.0,"['anime', 'anime rock', 'j-pop', 'j-poprock', 'j-rock']",DOES,52
2NmgIfLAFl1DD1FZOY4YqC,60806.0,"['anime', 'anime rock']",Masayoshi Oishi,50
4Mc3zbnQx4wRb0tYg7A8sG,310848.0,"['anime', 'j-pop', 'j-poprock', 'vocaloid']",supercell,53
6whFEcaV75AmQMiwlfaxvc,172061.0,"['anime rock', 'dance rock', 'j-pop', 'j-poprock', 'j-rock']",QUEEN BEE,57
449AEgfeOxqAuRn0uX6l3u,217438.0,"['anime', 'j-pop', 'j-poprock', 'j-rock']",UNISON SQUARE GARDEN,57
1cXxia1Q2VDTjWe8X2Jydm,107686.0,"['anime', 'anime rock', 'seinen']",Ho - Kago Tea Time,53
3NTbOmzlj2cL86XFuDVFvZ,756662.0,"['anime', 'anime rock', 'j-pop', 'j-poprock', 'j-rock', 'otacore']",MAN WITH A MISSION,61
