id,followers,genres,name,popularity
0n6sKrG0xKAf8xmdqeNGke,12177.0,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']",Los Legendarios,84
47MpMsUfWtgyIIBEFOr4FE,4287158.0,"['latin', 'latin pop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']",Lunay,83
7kXCcNRLEnblbTAppPraBp,13885.0,"['reggaeton', 'reggaeton flow', 'trap latino']",Milly,75
6w9ToX5slZ4uIdmD17hJ3c,4796022.0,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']",Bryant Myers,82
0KKUc4amZyvswV2YL6WTar,84704.0,"['latin pop', 'perreo', 'rap latina', 'trap latino']",Mariah Angeliq,75
2cPqdH7XMvwaBJEVjheH8g,1123869.0,"['reggaeton', 'trap latino']",Jay Wheeler,85
5XJDexmWFLWOkjOEjOVX3e,431337.0,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'trap triste']",Eladio Carrion,77
5hdhHgpxyniooUiQVaPxQ0,1717618.0,"['latin', 'reggaeton', 'trap latino', 'tropical']",Nio Garcia,84
14zUHaJZo1mnYtn6IBRaRP,2661910.0,"['latin', 'reggaeton', 'trap latino']",Justin Quiles,87
0BqURncJM5B1BBu7UM51eq,608640.0,"['latin', 'reggaeton', 'reggaeton flow', 'trap latino']",Guaynaa,80
07YUOmWljBTXwIseAUd9TW,15150418.0,"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",Sebastian Yatra,85
0Q8NcsJwoCbZOHHW63su5S,108068.0,"['reggaeton', 'reggaeton flow', 'trap latino']",Mora,77
11YLRSsZA3YVuQQtHXKTlz,120704.0,"['reggaeton', 'reggaeton flow', 'trap latino']",Rafa Pabön,75
4q3ewBCX7sLwd24euuV69X,32244734.0,"['latin', 'reggaeton', 'trap latino']",Bad Bunny,98
7iK8PXO48WeuP03g8YR51W,5001808.0,['trap latino'],Myke Towers,95
4o0NtnL2m0lzZmEdRas1qv,165767.0,"['corridos tumbados', 'nuevo regional mexicano', 'trap latino']",Ovi,75
2oT7xd9iTO2ejLsNGIMa5f,3667.0,"['reggaeton', 'trap latino']",Flow La Movie,77
2UZIAOlrnyZmyzt1nuXr9y,1329289.0,"['argentine hip hop', 'r&b argentino', 'trap argentino', 'trap latino']",Nicki Nicole,82
790FomKkXshlbRYZFtlgla,15941533.0,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",KAROL G,89
1i8SpTcr7yvPOmcqrbnVXY,27772492.0,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",Ozuna,93
5bWUlnPx9OYKsLiUJrhCA1,2948083.0,"['reggaeton', 'reggaeton flow', 'trap latino']",Jon Z,76
1pf0MPKfKdvS8J779mS1Ay,1858316.0,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']",Miky Woodz,77
1fux65HMCBvfJHqlBc4Nno,1243207.0,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']",Casper Magico,79
