id,followers,genres,name,popularity
21fClS8OEQ4cTa868Q8INi,3127.0,"['swedish hip hop', 'swedish trap pop']",E4an,50
6sEAVGBp27sLnlaBMGbBTi,891.0,"['swedish hip hop', 'swedish trap pop']",GRIND GANG,48
4kUfJdASJDMPLuo1t1N2zi,3354.0,"['swedish hip hop', 'swedish trap pop']",Sarettii,48
4DC3zLbfVrTZo2WmvjMMls,26269.0,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",Aden,57
0XDfNJsQy7B3q0GfsMHSkp,47074.0,"['swedish hip hop', 'swedish pop']",Tjuvjakt,57
1tR8hI9nP55dVOK0DBvWbU,18257.0,"['swedish hip hop', 'swedish trap pop']",Nineb Youk,56
4DQ2t0Ir2VbuQBSyuSzloL,1004.0,"['swedish hip hop', 'swedish trap pop']",Kids of revolution,45
45hO5u8evtwIpSYefQHW8P,20139.0,"['gothenburg hip hop', 'swedish hip hop', 'swedish trap pop']",Lani Mo,49
5im4dgusFQfg3u2UGPYvEF,44980.0,"['swedish hip hop', 'swedish trap pop']",Saliboy,52
3M1eBsR4rSTcDAzYopumeG,46700.0,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",Asme,58
4vmyAixlpiovF3wJ5MSxfJ,11712.0,['swedish gangsta rap'],Jiggz,49
5Pcez7u1H2Po6e2LmMdF3f,18748.0,"['gothenburg hip hop', 'swedish dancehall', 'swedish hip hop', 'swedish reggae', 'swedish trap pop']",Allyawan,46
1fhvwCr1HKEZgZYOrfsHyk,56551.0,"['swedish hip hop', 'swedish pop', 'swedish trap pop']",Ison & Fille,45
0IfFGR3deyYYoBzXsz3dWN,1488.0,['swedish hip hop'],Canto,46
0rJEJ9T9JwC6ajdnMeqREY,32277.0,"['swedish dancehall', 'swedish hip hop', 'swedish pop', 'swedish reggae', 'swedish trap pop']",Kaliffa,50
79tTZzeIjEwOE6JMHG5eBS,26961.0,"['swedish hip hop', 'swedish pop']",Snook,46
5s77Nldm0GrOQkMIElogdo,91338.0,"['swedish dancehall', 'swedish gangsta rap', 'swedish hip hop', 'swedish reggae', 'swedish trap pop']",Labyrint,49
4qSaLWsra4abvHVVijKwlx,8942.0,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",Matte Caliste,49
0zKX6nlK1A4ZmztnFPOKGs,17657.0,"['swedish hip hop', 'swedish soul', 'swedish trap pop']",Aleks,46
3HbP7OfT7PCV0BrR0ReUkC,92502.0,"['swedish dancehall', 'swedish hip hop', 'swedish pop', 'swedish trap pop']",Medina,51
4i6VLJAtySJ3Vxf9R1me6p,30166.0,"['danspunk', 'swedish alternative rock', 'swedish hip hop']",Fronda,49
4bOG1sx3QHFbOUVLNmMpPe,449386.0,"['skansk musik', 'swedish hip hop', 'swedish pop']",Timbuktu,56
4G2UDRhQLUDq0f93giGYwA,192944.0,"['swedish alternative rock', 'swedish dancehall', 'swedish hip hop', 'swedish pop', 'swedish reggae']",Kapten Röd,54
6Xln2zf2OkGDhFKUQcw1yB,33544.0,"['swedish drill', 'swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",JB,54
4C86wrjOUfXQDlt6A4oJOC,73588.0,"['swedish alternative rock', 'swedish hip hop', 'swedish pop']",Daniel Adams-Ray,54
4tSx9oXscGCVaVXEhH86qp,20185.0,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap pop']",Blizzy,54
6tbXwhqy3WAFqanusCLvEU,45059.0,"['conscious hip hop', 'swedish hip hop', 'swedish reggae', 'swedish underground rap']",Promoe,45
0ahIOvoOixJ6reWSvAsshX,23680.0,"['swedish dancehall', 'swedish hip hop', 'swedish pop', 'swedish trap pop']",Mwuana,57
4bZ30evEi5vMG1A3xdW8U2,25440.0,"['swedish hip hop', 'swedish pop', 'swedish trap pop']",Fricky,52
0kEHzvdzvwa8GzqGZV8ePh,9641.0,"['swedish hip hop', 'swedish trap', 'swedish trap pop']",Snövit,48
3ldCASdD4QRyfTt6lpPn6y,11886.0,"['gothenburg hip hop', 'swedish hip hop', 'swedish pop', 'swedish trap pop']",Parham,47
4kKkAIpkNWG3XpUIl9yENt,15755.0,"['swedish drill', 'swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",24K,51
0dCSPVQ30JS4cRaCTtbEmp,16573.0,"['swedish hip hop', 'swedish pop', 'swedish trap pop']",Erik Lundin,49
58RMTlPJKbmpmVk1AmRK3h,19419.0,"['swedish gangsta rap', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",Abidaz,48
71BhXa24Zf5zcikUb00l2N,8378.0,"['swedish drill', 'swedish hip hop', 'swedish trap', 'swedish trap pop']",Juice,48
31KGMx2XwpugdUpJzeZOv1,16000.0,"['swedish drill', 'swedish hip hop', 'swedish trap pop']",Naod,48
